강좌등록코드	회원코드	회원명	강좌명	강좌수강료	등록기간	등록수강료	강좌등록일
1	1	김전수	재즈댄스	70000	1	70000	2015-03-06
2	2	강수숙	플라잉초급	100000	3	270000	2015-03-06
3	3	최종순	플라잉중급	120000	3	324000	2015-03-06
4	4	정명훈	재즈댄스	70000	1	70000	2015-03-06
5	5	박원순	파워요가	120000	1	120000	2015-03-06
6	6	김인모	파워요가	120000	3	324000	2015-03-06
7	7	이현종	플라잉초급	100000	3	270000	2015-03-06
8	8	이대식	필라테스	130000	6	624000	2015-03-06
9	9	이순왕	플라잉중급	120000	6	576000	2015-03-06
10	10	이순지	줌바	80000	1	80000	2015-03-06
11	11	정해승	재즈댄스	70000	3	189000	2015-03-27
12	12	정전미	필라테스	130000	6	624000	2015-04-01
13	13	강현순	파워요가	120000	3	324000	2015-04-01
14	14	박한라	플라잉초급	100000	1	100000	2015-04-02
15	15	최생원	재즈댄스	70000	6	336000	2015-04-02
16	16	서오동	재즈댄스	70000	3	189000	2015-04-02
17	17	이모전	플라잉중급	120000	6	576000	2015-04-03
18	18	강봉혜	빈야사	80000	1	80000	2015-04-03
19	19	이순미	파워요가	120000	6	576000	2015-04-03
20	20	서동철	플라잉초급	100000	3	270000	2015-04-20
21	21	서지대	플라잉초급	100000	1	100000	2015-04-23
22	22	김금한	파워요가	120000	1	120000	2015-04-27
23	5	박원순	재즈댄스	70000	3	189000	2015-05-02
24	23	최진업	빈야사	80000	6	384000	2015-05-02
25	24	박장업	재즈댄스	70000	3	189000	2015-05-03
26	25	최솔경	빈야사	80000	1	80000	2015-05-03
27	26	서승봉	필라테스	130000	6	624000	2015-05-03
28	27	정진라	재즈댄스	70000	6	336000	2015-05-06
29	28	이발철	플라잉중급	120000	6	576000	2015-05-07
30	29	강묘준	줌바	80000	3	216000	2015-05-13
31	30	강동천	줌바	80000	1	80000	2015-05-16
32	31	박솔업	파워요가	120000	3	324000	2015-05-17
33	32	박순솔	재즈댄스	70000	6	336000	2015-05-22
34	33	강동봉	재즈댄스	70000	6	336000	2015-06-01
35	34	이선오	파워요가	120000	1	120000	2015-06-02
36	35	강용희	파워요가	120000	3	324000	2015-06-02
37	36	박발인	플라잉초급	100000	3	270000	2015-06-02
38	37	강종리	재즈댄스	70000	6	336000	2015-06-03
39	38	강기묘	필라테스	130000	1	130000	2015-06-05
40	39	이윤기	재즈댄스	70000	6	336000	2015-06-08
41	40	박발한	플라잉초급	100000	1	100000	2015-06-09
42	2	강수숙	플라잉중급	120000	1	120000	2015-06-10
43	3	최종순	필라테스	130000	6	624000	2015-06-15
44	6	김인모	재즈댄스	70000	3	189000	2015-07-02
45	30	강동천	재즈댄스	70000	3	189000	2015-07-02
46	7	이현종	재즈댄스	70000	3	189000	2015-07-10
47	38	강기묘	줌바	80000	3	216000	2015-08-02
48	24	박장업	빈야사	80000	3	216000	2015-08-25
49	29	강묘준	재즈댄스	70000	1	70000	2015-09-03
50	31	박솔업	재즈댄스	70000	3	189000	2015-09-10
51	35	강용희	플라잉초급	100000	6	480000	2015-09-20
52	23	최진업	파워요가	120000	3	324000	2015-12-01
53	27	정진라	줌바	80000	6	384000	2015-12-05
54	32	박순솔	파워요가	120000	3	324000	2016-01-05
